trip_id,avg_speed,max_speed,overspeed_ratio,harsh_brake_count,sharp_turn_count,night_ratio,trip_distance_km,trip_duration_min,is_night_trip,has_harsh_brake,has_sharp_turn,is_overspeed,missing,target
T0,57.450712295168486,86.96572495333636,0.1352920561517268,2,3,0.5472845944588351,7.760865052625816,16.169101769426636,1,1,1,0,0,1
T1,47.92603548243223,85.66647185071334,0.37933057384059055,2,1,0.428074772744402,8.490715076678331,96.03541532149816,0,1,1,1,0,1
T2,59.715328071510385,61.269603083890175,0.03300950241053599,3,2,0.08559044461242905,7.538819411850362,19.484282032836017,0,1,1,0,0,0
T3,72.84544784612038,91.59168443527477,0.14591316234492413,0,2,0.11435662842057899,16.35438910015242,27.88018070052191,0,0,1,0,0,0
T4,46.48769937914996,50.198346488467635,0.12448706988642863,0,3,0.5695050402949055,10.817733295673548,24.838234887062697,1,0,1,0,0,0
T5,46.487945645762295,66.91631348479342,0.21190483500461102,1,3,0.4598524183107485,18.300928328974354,39.77152832561215,0,1,1,1,0,1
T6,73.68819223261087,40.01824374204384,0.2591351418888211,2,1,0.01019244167291108,4.6695252440950625,16.744310427155163,0,1,1,1,0,0
T7,61.51152093729363,111.1725303392563,0.20545343317145465,0,3,0.09217521148690179,1.3894646012639031,2.783013857956556,0,0,1,1,0,0
T8,42.95788421097572,75.36901012109409,0.2366915354199226,2,5,0.027388255028259957,9.063294557993643,46.25169141197299,0,1,1,1,0,1
T9,58.13840065378947,123.33768069632623,0.08734894946496884,2,2,0.5905197017859553,9.13073971500356,26.775739630833105,1,1,1,0,0,1
T10,43.04873460781307,96.0589985303899,0.10952496455517415,0,3,0.40044609210656745,9.965421992882794,29.987440033625973,0,0,1,0,0,0
T11,43.01405369644615,88.96196426702049,0.15643350537390183,1,3,0.4385141584187414,15.114230071739591,54.4481996418221,0,1,1,1,0,0
T12,53.629434073490515,68.27544611438002,0.291595533824486,3,1,0.13789468339180827,12.671992392968491,9.494334643916755,0,1,1,1,0,1
T13,21.300796330133032,59.0729992862516,0.33903829914967243,1,4,0.15355352692204324,16.61187581399016,45.65387230899428,0,1,1,1,0,1
T14,24.126232512304508,90.4594314779389,0.4843665203835995,4,5,0.4018134252371119,6.087650502263297,14.68436828984693,0,1,1,1,0,1
T15,41.56568706138541,78.56971981454036,0.30130968400624436,4,2,0.06091995809100877,4.153121239195639,28.820247660809173,0,1,1,1,0,1
T16,34.80753319498364,53.21459369029398,0.1466894743653799,2,5,0.3472753678233988,28.694436948574662,43.29125691239376,0,1,1,0,0,1
T17,54.71370998892911,49.66283166983363,0.3961006104589244,2,0,0.43193726827018014,14.997581673295494,8.980566295025326,0,1,0,1,0,1
T18,36.37963886718184,60.825925417128325,0.03209136028071064,2,1,0.2576174966501058,18.628190605561713,36.20580989137001,0,1,1,0,0,0
T19,28.815444479970626,116.4193445053246,0.32797432391795905,1,2,0.22568732217582335,5.933219682586497,13.675327610147379,0,1,1,1,0,0
